ProteinId	Replicate_1_(amol/cell)	Replicate_2_(amol/cell)	Replicate_3_(amol/cell)	Synonym
Cre06.g299450.t1.2	0.026548136256616985	0.13615796473478578		
Cre12.g537671.t1.1	0.008593042010332173	0.016999626882031386	0.009086374647444988	
Cre03.g200351.t1.1	0.13472985418070138	0.1389474652554572	0.13096206817144979	
Cre11.g467682.t1.1	0.03210086795685107	0.045362619256862705	0.05547201070608786	
Cre16.g653550.t1.2	0.05696894868702491	0.05791767764273746	0.06052250102259929	
Cre11.g481500.t1.2	0.07634594212140297	0.08997698177626068	0.07503964014505282	HIS7
Cre12.g522800.t1.2	0.010867596415101327	0.007169188222155453		
Cre07.g323450.t1.2		0.012627928071845746		
Cre11.g467556.t1.1	0.12811353724580715		0.1833097171311866	
"Cre15.g639150.t1.1;Cre15.g639150.t2.1"	0.06404935836303358	0.05555396602690934	0.08609984260147717	;
Cre11.g467531.t1.1	0.029034540733360766	0.00795504440321042	0.03334805831990701	
"Cre13.g579566.t1.1;Cre13.g579566.t2.1"	0.04698117851295053	0.046638746553121065	0.056892459060061816	;
Cre12.g520650.t1.2	0.03371414813938424	0.027738463262536754	0.05421853508646498	TLP1
Cre10.g428050.t1.1	0.013491615458618482	0.011043150505016242	0.012312532163133647	
Cre13.g566850.t1.2		0.0900017685431575		SOUL2
Cre02.g117500.t1.2	0.06333552854277204	0.0608858677056398	0.05619712151588594	HXK1
"Cre04.g225350.t1.1;Cre04.g225350.t2.1"	0.040071184241862755	0.04336335213732201	0.03543370438213543	;
Cre16.g694208.t1.1	0.019350927188449055	0.012637899024011592	0.021406331157064064	
Cre11.g477950.t1.1	0.1483269059161148	0.1690233552493856	0.15177585419923545	
Cre19.g750147.t1.1	0.00904654702567392	0.012215399782516487		
Cre17.g721850.t1.2	0.5071429556326892	0.05645603089385409		SSA16
Cre12.g501000.t1.1	0.012208793045873002	0.011044398347836609	0.008130034799984242	
Cre16.g687350.t1.2	0.06176523982792344	0.050863805086171596	0.05154710582879339	
Cre14.g630400.t1.2	0.06910137172230281	0.062141196877946184	0.06438709542365131	
Cre06.g269050.t1.2	0.19378287500335403	0.2031019013227543	0.20701247473356152	TIC62
Cre09.g397327.t1.1	0.0022913608107764743	0.0592434000950851		
Cre06.g257500.t1.2	0.5992672313437921	0.8011633062241056	0.951204264793378	FTT2
Cre05.g248600.t1.2	0.10993241454979694	0.07950536826240212	0.09227189480994052	PCC1
"Cre17.g696250.t1.1;Cre17.g696250.t2.1"	0.0637926597909208	0.07350306739753074	0.07798245721415459	;
Cre-1.g2716963.t1.p1	1.4431099651353532	1.4957678514086585	1.2103620720927188	psbC
Cre10.g457700.t1.2	0.08094041809431518	0.07652078824342434	0.10068856593505299	
Cre06.g273413.t1.1	0.09407605899737381	0.0963569001532647	0.12275932345742341	
"Cre12.g553100.t1.1;Cre12.g553100.t2.1"	0.0899149439461602	0.021740757642206485	0.05456642583254916	;
Cre08.g384000.t1.1	0.00870682705363654	0.009863865765663452	0.010918116883440864	CYP771A1
Cre06.g278091.t1.1		0.029060000417009194		
Cre16.g677000.t1.2	0.21769326244446505	0.18556510174272672	0.21544500350266074	HSP70E
Cre14.g629550.t1.2	0.03445455333430197	0.030608681558928118	0.03215580112588759	
Cre11.g481115.t1.1		0.004463835657666604		
Cre14.g626500.t1.2	0.04305125090086443	0.046740010749708814	0.03951031407686735	
Cre13.g571150.t1.2	0.18412962675450223	0.17589011776793026	0.15592880239274776	NUOP1
Cre07.g336750.t1.1	0.03284120610416383	0.02512206859947429	0.201443463036135	
Cre08.g384200.t1.2	0.024223910709603017	0.015588864141785643	0.08293077713464894	
Cre12.g525150.t1.2	0.02244613066577012	0.046515576569495835	0.033245532295529304	
Cre10.g436500.t1.2	0.07702366005259881	0.07461356257248447	0.07375471871191391	
Cre09.g401886.t1.1	0.10976947651963745	0.12841259698109536	0.12981974772620486	
Cre24.g755497.t1.1	0.07047228257235796	0.07902757990065304	0.058962704702833005	
"Cre11.g468356.t1.1;Cre11.g468356.t2.1"	0.022858151597791025	0.019555894788753348	0.029146349825549964	;
Cre07.g336200.t1.1	0.03260960866593162	0.02920417071968251	0.03067962357374043	
Cre06.g279150.t1.2	0.16375677961312388	0.14770206367758318	0.14405401864466277	TSD2
Cre02.g097000.t1.2	2.4778719558400017			DHP1
Cre08.g362450.t1.2	0.14656126794506985	0.15367632329558223	0.11846347441072985	AMA2
Cre05.g230850.t1.1	0.039992121463450145	0.04034993207245773	0.04415602122863277	
Cre02.g074650.t1.2	0.03159862925388457	0.03853542678326868	0.040889005751128533	
"Cre12.g488850.t1.1;Cre12.g488850.t2.1"	0.06256500339589824	0.06353747802413555	0.06606285007911847	AP2A1;AP2A1
Cre10.g444800.t1.2	0.07572669055374653	0.07150093659284376	0.07827138838484667	CGL63
Cre06.g273000.t1.2	0.1787562491621077	0.1252247722562043	0.20493575507292636	
"Cre08.g368900.t1.2;Cre08.g368900.t2.1"	0.04707704770135099	0.031059741835153996	0.03726016127548955	TSA2;TSA2
Cre09.g403182.t1.1	0.0606957362631936	0.033877631465912175	0.030516375195324817	
