ProteinId	Replicate_1_(amol/cell)	Replicate_2_(amol/cell)	Replicate_3_(amol/cell)	Synonym
Cre06.g299450.t1.2	0.004411866934820842	0.0032813699182986803		
Cre12.g537671.t1.1	0.007270741044147221	0.011884504101326297	0.08393794299115874	
Cre03.g200351.t1.1	0.05332316732831757	0.05059121319409997	0.05765019319257659	
Cre11.g467682.t1.1	0.02611559451231335	0.024111167907256918	0.008427127074473842	
Cre16.g653550.t1.2	0.037176987841397835	0.03374803745322535	0.04148244205907829	
Cre11.g481500.t1.2	0.04977698231157657	0.029763362044813134	0.030599624633904476	HIS7
Cre12.g522800.t1.2	0.006015997537848749	0.005321607088552092	0.00496760694502414	
Cre07.g323450.t1.2	0.007704961854123006	0.011213874709190315	0.043486978346124694	
Cre11.g467556.t1.1	0.023120158780302765	0.024642110061397538	0.026996878172488414	
"Cre15.g639150.t1.1;Cre15.g639150.t2.1"	0.028610606047107297	0.027887330215168708	0.0312593665268328	;
Cre11.g467531.t1.1	0.03679050679668125	0.027097720109864113	0.02832861445892315	
"Cre13.g579566.t1.1;Cre13.g579566.t2.1"	0.0187182055171861	0.09913214724791568	0.009937669759512024	;
Cre12.g520650.t1.2	0.014609815844562965	0.017826326205418297	0.01314038035259069	TLP1
Cre10.g428050.t1.1	0.004479934634345992	0.004970783906179402	0.005409507464313268	
Cre13.g566850.t1.2	0.028375396098805114	0.02939829008801964	0.1034789741370917	SOUL2
Cre02.g117500.t1.2	0.032058819669759535	0.04341261155047839	0.025857571737955408	HXK1
"Cre04.g225350.t1.1;Cre04.g225350.t2.1"	0.013209973327447009	0.010850444666022908	0.015756691236802338	;
Cre16.g694208.t1.1	0.0062595005434686	0.008255939998425802	0.006095179896417627	
Cre11.g477950.t1.1	0.06596166767043551	0.06104287449326853	0.06590754043103414	
Cre19.g750147.t1.1	0.013187199323963058	0.015694071802690994	0.0057580213673763085	
Cre17.g721850.t1.2	0.027682819506606844	0.017912551851598162	0.023812540169656258	SSA16
Cre12.g501000.t1.1	0.002450823070807294	0.003895756021926812	0.003692116613170823	
Cre16.g687350.t1.2	0.03697687118405993	0.041779379800394374	0.036242886193165	
Cre14.g630400.t1.2	0.03827092820509101	0.041796394395775115	0.03484404422508041	
Cre06.g269050.t1.2	0.1093468084693047	0.10696755560093475	0.12440465140478818	TIC62
Cre09.g397327.t1.1		0.38953309590435437	0.01156104175370101	
Cre06.g257500.t1.2	0.3816587478111804	0.3668308773103043	0.36588731565325794	FTT2
Cre05.g248600.t1.2	0.030790780473127034	0.025136818947317667	0.03253273254411387	PCC1
"Cre17.g696250.t1.1;Cre17.g696250.t2.1"	0.030215066883265335	0.02005864798232136	0.028630750208276066	;
Cre-1.g2716963.t1.p1	0.9149830509895793	0.7882755349562101	0.8045583306285813	psbC
Cre10.g457700.t1.2	0.027375281169680656	0.03363470122863631	0.03189495850275918	
Cre06.g273413.t1.1	0.03440088152651323	0.03320524421962627	0.033031720033656106	
"Cre12.g553100.t1.1;Cre12.g553100.t2.1"	0.04037224404797449	0.014263146207830146	0.030749576286234148	;
Cre08.g384000.t1.1	0.007922010076245121	0.007969175869748907	0.007436122266151323	CYP771A1
Cre16.g677000.t1.2	0.08794139808808055	0.07263672683711524	0.10825824331217586	HSP70E
Cre14.g629550.t1.2	0.017179108705320363	0.01592305508202247	0.015692354721622805	
Cre14.g626500.t1.2	0.024003500047616064	0.025192799098338537	0.08753113941464885	
Cre13.g571150.t1.2	0.13278407209991638	0.11744691064051296	0.12335619585571359	NUOP1
Cre07.g336750.t1.1	0.013246904355203856	0.04938682358858271	0.009655681746252236	
Cre08.g384200.t1.2	0.055938789400399536		0.004133090302541097	
Cre12.g525150.t1.2	0.00883852669776533	0.010262508262216478	0.021335099221381975	
Cre10.g436500.t1.2	0.02830022058050878	0.03196251799616075	0.025560139118690574	
Cre09.g401886.t1.1	0.10284153695158574	0.09310684599551107	0.10790735382393803	
Cre24.g755497.t1.1	0.03198565223497232	0.03890702195731957	0.024332692505516396	
"Cre11.g468356.t1.1;Cre11.g468356.t2.1"	0.011885402194159574	0.00941180349866945	0.016465072592123403	;
Cre07.g336200.t1.1	0.04364709655612547	0.039564339568499016	0.012951618663490528	
Cre06.g279150.t1.2	0.06397642473695016	0.0653531529104026	0.05883246888690683	TSD2
Cre02.g097000.t1.2	0.01709382572480258	0.01588244604777527	0.0035581344008109445	DHP1
Cre08.g362450.t1.2	0.07950639611696282	0.05146719383097699	0.07141931793010681	AMA2
Cre05.g230850.t1.1	0.02188621412902951	0.019472983102388455	0.01721705347263708	
Cre02.g074650.t1.2	0.011654783111353003	0.012706517893261163	0.012750245982914968	
"Cre12.g488850.t1.1;Cre12.g488850.t2.1"	0.03201726244860027	0.03584428996501472	0.04495392824176737	AP2A1;AP2A1
Cre10.g444800.t1.2	0.045824833121523856	0.07942588806194198	0.055950017111899536	CGL63
Cre06.g273000.t1.2	0.092961039433086	0.07424224522369179	0.07906268191994428	
