met_ID,MW
ac_c,59.04
acaro_h,532.84
ala__L_c,89.09
anxan_u,580.84
arab__L_c,150.13
arg__L_c,175.21
asn__L_c,132.12
asp__L_c,132.09
asqdca18111Z160_c,1078.54
asqdca1819Z160_c,1078.54
asqdca1829Z12Z160_c,1076.52
asqdca1839Z12Z15Z160_c,1074.51
asqdpa18111Z160_c,1080.56
asqdpa1819Z160_c,1080.56
asqdpa1829Z12Z160_c,1078.54
asqdpa1839Z12Z15Z160_c,1078.54
atp_c,
but_c,87.1
caro_u,532.84
cholphya_u,891.47
chlb_u,905.45
ctp_c,479.12
cys__L_c,121.16
datp_c,487.15
dctp_c,463.12
dgdg1819Z160_h,919.23
dgdg1819Z1617Z_h,917.21
dgdg1819Z1619Z_h,917.21
dgdg1819Z1627Z10Z_h,915.19
dgdg1819Z1634Z7Z10Z_h,913.18
dgdg1819Z1637Z10Z13Z_h,913.18
dgdg1829Z12Z160_h,917.21
dgdg1829Z12Z1617Z_h,915.19
dgdg1829Z12Z1619Z_h,915.19
dgdg1829Z12Z1627Z10Z_h,913.18
dgdg1829Z12Z1634Z7Z10Z_h,911.16
dgdg1829Z12Z1637Z10Z13Z_h,911.16
dgdg1839Z12Z15Z160_h,915.19
dgdg1839Z12Z15Z1627Z10Z_h,911.16
dgdg1839Z12Z15Z1634Z7Z10Z_h,909.15
dgdg1839Z12Z15Z1637Z10Z13Z_h,909.15
dgdg1839Z12Z15Z1644Z7Z10Z13Z_h,907.13
dgtp_c,503.15
dgts16018111Z_c,738.13
dgts1601819Z_c,738.13
dgts1601829Z12Z_c,736.11
dgts1601835Z9Z12Z_c,734.1
dgts1601845Z9Z12Z15Z_c,732.08
dgts18111Z18111Z_c,764.17
dgts18111Z1819Z_c,764.17
dgts18111Z1829Z12Z_c,762.15
dgts18111Z1835Z9Z12Z_c,760.13
dgts18111Z1845Z9Z12Z15Z_c,758.12
dgts1819Z18111Z_c,764.17
dgts1819Z1819Z_c,764.17
dgts1819Z1829Z12Z_c,762.15
dgts1819Z1835Z9Z12Z_c,760.13
dgts1819Z1845Z9Z12Z15Z_c,758.12
dgts1829Z12Z18111Z_c,762.15
dgts1829Z12Z1819Z_c,762.15
