ProteinId	Replicate_1_(amol/cell)	Replicate_2_(amol/cell)	Replicate_3_(amol/cell)	Synonym
Cre06.g299450.t1.2	0.016257788773679234	0.01666501633574527	0.022937647824555762	
Cre12.g537671.t1.1	0.01818018996639307	0.02651554405783875	0.03738420752132322	
Cre03.g200351.t1.1	0.061925214380348814	0.07830476142301601	0.08081993034606427	
Cre11.g467682.t1.1	0.0670747353718416	0.013678572118002042	0.0789396881707908	
Cre16.g653550.t1.2	0.034688681497010314	0.04209527781536992	0.03600821967452154	
Cre11.g481500.t1.2	0.027328084842544877	0.02824572312587487	0.04614075563768193	HIS7
Cre12.g522800.t1.2	0.00648434879783885	0.010443178700394434	0.009534616116375422	
Cre07.g323450.t1.2	0.18558616537975026	0.127287924898239	0.16707835432804244	
Cre11.g467556.t1.1	0.025635860241265684	0.10092335505552	0.5248131190819184	
"Cre15.g639150.t1.1;Cre15.g639150.t2.1"	0.053243760242249194	0.05046112435935522	0.05234173200622146	;
Cre11.g467531.t1.1	0.07789959648425279	0.06293972472210743	0.04241858206924586	
"Cre13.g579566.t1.1;Cre13.g579566.t2.1"	0.05760687608604615	0.02456511157587868	0.04263217544726195	;
Cre12.g520650.t1.2	0.01736092126248947	0.017238843971556114	0.023760361703729978	TLP1
Cre10.g428050.t1.1	0.006143065482326392	0.010847297548837172	0.009877493704637433	
Cre13.g566850.t1.2	0.052666386324686856	0.08247627178001675	0.14758841917547874	SOUL2
Cre02.g117500.t1.2	0.0684875814838064	0.04254626700678307	0.046698916755952204	HXK1
"Cre04.g225350.t1.1;Cre04.g225350.t2.1"	0.019216924722077575	0.027762919151143782	0.033328102964984126	;
Cre16.g694208.t1.1	0.00928152714504539	0.014267169880700628	0.01080146111732248	
Cre11.g477950.t1.1	0.10998154896371674	0.10751644294767726	0.12728392200165853	
Cre19.g750147.t1.1	0.007081480256167237	0.007789706340540881		
Cre17.g721850.t1.2	0.031050630162031218	0.04335135598871475	0.06922101919890061	SSA16
Cre12.g501000.t1.1	0.009935736412654429	0.013380706716316481	0.016053087399273	
Cre16.g687350.t1.2	0.09663774754746354	0.09686392827228912	0.11436455045857899	
Cre14.g630400.t1.2	0.07570278479925172	0.06814867945531976	0.07083065162690481	
Cre06.g269050.t1.2	0.17723563322636526	0.17932659602393958	0.16015140061271285	TIC62
Cre09.g397327.t1.1	0.29350786830459796	0.2138573989629709		
Cre06.g257500.t1.2	0.5682533245277963	0.7585189855063781	0.7188026522722263	FTT2
Cre05.g248600.t1.2	0.02550403074961942	0.0905787621150828		PCC1
"Cre17.g696250.t1.1;Cre17.g696250.t2.1"	0.04995590637027926	0.04662188313822931	0.06487621768335448	;
Cre-1.g2716963.t1.p1	1.1311071510578257	1.2021137444198113	1.404081793552452	psbC
Cre10.g457700.t1.2	0.054954728723982264	0.0780465805810924	0.08456041849952406	
Cre06.g273413.t1.1	0.04585711780545601	0.05342603002508438	0.07016073597747828	
"Cre12.g553100.t1.1;Cre12.g553100.t2.1"	0.030838964445235907	0.038888169037467425	0.03389847882582085	;
Cre08.g384000.t1.1	0.00981810273864434	0.011452058138909687	0.011100727348203563	CYP771A1
Cre06.g278091.t1.1	0.006139598203660086	0.006706979920329474		
Cre16.g677000.t1.2	0.3170438672684127	0.30629873821048836	0.2508496852535395	HSP70E
Cre14.g629550.t1.2	0.04946046999236492	0.03837476175798796	0.03568870454360079	
Cre11.g481115.t1.1	0.0038067130163085493	0.0027410010676550316	0.0031202204839601744	
Cre14.g626500.t1.2	0.03526625280643135	0.03883657240083322	0.037566254545630125	
Cre13.g571150.t1.2	0.09560428999914085	0.11754161747568578	0.10373133864406128	NUOP1
Cre07.g336750.t1.1	0.02922749495569877	0.014836482495590905	0.021123313103621755	
Cre08.g384200.t1.2	0.24295237061356897	0.016882638648437642	0.11474206525086394	
Cre12.g525150.t1.2	0.019303293540281992	0.012261789936316794	0.026834661866284037	
Cre10.g436500.t1.2	0.043355257936299366	0.0557484026717589	0.05236322338512262	
Cre09.g401886.t1.1	0.09946643660848238	0.037557100400424266	0.10475233914982246	
Cre24.g755497.t1.1	0.051079270955515815	0.06236234423318935	0.07046952292338537	
"Cre11.g468356.t1.1;Cre11.g468356.t2.1"	0.021698208605588347	0.020988682645661144	0.026981035454856823	;
Cre07.g336200.t1.1	0.03074799138943538	0.03962331295975714	0.047019514392494924	
Cre06.g279150.t1.2	0.12144507968359958	0.10828021682538756	0.15377980313434403	TSD2
Cre02.g097000.t1.2	0.03736462974936339	0.053487415359818054	0.0304190310179942	DHP1
Cre08.g362450.t1.2	0.14434794063376233	0.06891019692277309	0.10997183206421876	AMA2
Cre05.g230850.t1.1	0.01956709182663141	0.023251586584851984	0.03260781854515938	
Cre02.g074650.t1.2	0.042194043409275926	0.023656385720091665	0.02976508041800771	
"Cre12.g488850.t1.1;Cre12.g488850.t2.1"	0.06388315029036909	0.057168524033025025	0.06767382252134382	AP2A1;AP2A1
Cre10.g444800.t1.2	0.0921648395027992	0.07071455213986952	0.08432580828285369	CGL63
Cre06.g273000.t1.2	0.11490851339807553	0.22279828742083582	0.10220986481653158	
"Cre08.g368900.t1.2;Cre08.g368900.t2.1"	0.040853119792232925	0.03685994055394439	0.04183414942982581	TSA2;TSA2
Cre09.g403182.t1.1	0.01666707096176756	0.027437979379859402	0.03619440481935107	
Cre13.g603225.t1.1	0.028752091191221508	0.03835754271159226	0.03589300246606618	
Cre13.g581600.t1.2	0.2457358998753209	0.2634192107789284	0.3097400873727671	ASA4
Cre03.g145967.t1.1	0.07188410617717764	0.07827921812689466	0.06933668844000088	
Cre16.g678050.t1.1	0.010717376347514017	0.005505642882756642		SRE3
Cre06.g259100.t1.1	0.042911059498919005	0.03281967133773181	0.032610127004086484	
Cre06.g255100.t1.1	0.06533066858486622	0.061173854519892434	0.09165975961122434	
Cre02.g106850.t1.2	0.033955249807003374	0.07136639151714738	0.05352269419037946	TPR6
Cre09.g397200.t1.2	0.05451329390817969	0.04869290684727361	0.07294036275010282	CCT6
Cre12.g552900.t1.2	0.05967119608572989	0.02780871198357756	0.07777730879043551	DOI1
Cre16.g687950.t1.2	0.03460262817192403	0.03330666470004749	0.016844181531586573	ETF1
Cre01.g010900.t1.2	1.1265677028512129	0.9324498431813066	1.048301081310341	GAP3
Cre05.g247450.t1.2	0.05262918391117523	0.035038177577561586	0.04242346004367917	CGL56
Cre07.g347100.t1.2	0.06318998145912588	0.07370532409478794	0.09580536841605274	
Cre01.g001100.t1.2	0.06630635780401681	0.07679139725608874	0.08896831725667953	
Cre03.g167101.t1.1	0.040476853965379964	0.04739000561383667	0.04471704231200855	
Cre02.g088200.t1.2	0.4391670946396106	0.4423239014032771	0.5947629984040722	RB60
Cre16.g692901.t1.1	0.08471254120893891	0.10854500801141045	0.1056269796564272	
Cre16.g653700.t1.1	0.014369804110303634	0.02736579447126912	0.10436896792370479	
Cre03.g194850.t1.2	0.722510907619399	0.7921590036336266	0.7417622569302007	MDN1
Cre10.g466450.t1.1	0.016403541696521758	0.09847291708502788		
Cre02.g080200.t1.2	0.47342927638568216	0.426653645665052	0.5876650020720224	TRK1
Cre06.g296500.t1.2	0.04305843630156703	0.030264079090629635	0.031242893552674754	
Cre07.g340350.t1.1	0.19275142915747231	0.24208584914227013	0.25874839053493326	ASA1
Cre12.g503300.t1.2	0.05307407175166636	0.04853870774687985	0.060354763639313996	
Cre03.g154900.t1.1	0.010841882459027894	0.01657306598207081	0.01659280944060647	
Cre06.g308500.t1.2	0.16440177678184667	0.15701762133379096	0.18477979910112838	CMP2
Cre13.g591400.t1.1	0.053536973041555275	0.033100016014635164	0.05393595004297441	COA1
Cre03.g177053.t1.1	0.03817940940116045	0.04871694125731224	0.03763881742622868	
"Cre06.g273500.t1.2;Cre06.g273500.t2.1"	0.040604958724373426	0.06772870107506451	0.07163426272101767	;
Cre09.g395800.t1.2	0.04214728180840037		0.012494075100049986	
Cre06.g263250.t1.1	0.11844665229344928	0.07096000356286405	0.06726687976536652	
Cre12.g537100.t1.2	0.05855518074585743	0.06097319585194079	0.09254619773981729	TSV2
Cre11.g467400.t1.2	0.08174438812721518	0.06538031332156825	0.06578079973547381	
"Cre06.g282000.t1.1;Cre06.g282000.t2.1"	0.07029997370254956	0.05945196695337741	0.059757558239771524	STA3;STA3
Cre09.g415550.t1.2	0.34341352272465697	0.29210780095056044	0.336839817561896	ASA2
Cre09.g406050.t1.2	0.05626427396845737	0.05753434780467916	0.07089174814460253	PYR7
Cre12.g512000.t1.1	0.05153933035396993	0.03950516334673193	0.06418985561019798	
"Cre02.g143650.t1.2;Cre02.g143650.t2.1"	0.07923429207044139	0.07490371246026334	0.08594956901893255	;
Cre17.g734200.t1.2	0.2318578904660088	0.23917393190391412	0.252037183900528	DPA1
"Cre12.g541800.t1.2;Cre12.g542100.t1.2"	0.039974154142709224	0.042184650907837344	0.04867709640886054	;
Cre12.g513500.t1.2	0.04640838754516034	0.011670467261432954	0.03905100834670638	XAB2
"Cre08.g358556.t1.1;Cre08.g358556.t2.1"	0.8512281044593673	0.8965025206585124	0.8732704415635941	RPS29;RPS29
"Cre13.g566650.t1.2;Cre13.g566650.t2.1"	0.12307007283238645	0.10488496001807393	0.11619696166399514	;
Cre16.g695050.t1.2	0.11851898480209566	0.130928666400706	0.21835857305013207	HCD1
Cre17.g730000.t1.2	0.07344961164934312	0.05179556784123522	0.05838546231721174	
Cre01.g020918.t1.1	0.06128081385164112	0.07785920799719764	0.08123921237437438	PREP1
Cre06.g278215.t1.1	0.05452400913418541	0.060727161618394004	0.07514794706485865	
Cre12.g498500.t1.2	0.10184753408950142	0.1069058736767009	0.12395611633234013	DEG1C
"Cre06.g278185.t1.1;Cre07.g357200.t1.2"	0.395110042502024	0.2915638274017488	0.5238464039934903	UGD2;UGD1
Cre16.g687200.t1.1	0.09376870077585647	0.18230424652869337	0.15282368798420462	
"Cre17.g746597.t1.1;Cre17.g746597.t2.1"	0.04480316869537122	0.04072405577036661	0.036389829543075285	;
Cre01.g015600.t1.1	0.031209104118336543	0.03793187588663984	0.03274471875443645	
Cre09.g394436.t1.1	0.09655845098537101	0.16083497425553178	0.2260855229906324	
"Cre13.g604650.t1.2;Cre13.g604650.t2.1"	0.4239937614072973	0.42567989808169615	0.5717064113097394	;
Cre02.g080350.t1.1	0.04358796501518758	0.05777131960001113	0.040535994153538674	
Cre02.g097950.t1.2	0.004062456168120368	0.002945914957461797	0.014277740632327163	
Cre02.g109550.t1.2	0.03114575904417035	0.03217551182158999	0.0429023227872227	HSD1
Cre10.g419950.t1.1	0.05451899538504554	0.042367794516134295	0.047594947863210335	
Cre09.g393700.t1.1	0.020020370702776354	0.035798415348929184	0.07645911590455733	MMP3
Cre02.g118500.t1.1	0.08257912412612947	0.07978623265810825	0.09555120117190108	COPB2
Cre16.g693900.t1.1	0.17542206265735105			PWR13
Cre06.g278202.t1.1	0.02848703023731464	0.014643606995237115		
Cre-1.g2716961.t1.p1	0.954207607033568	0.5451947310071429	0.7043337939963569	psbD
Cre06.g278255.t1.1	0.06425655698753553	0.06879306376461634	0.0941747548736607	
Cre02.g095146.t1.1	0.08098478247970187	0.05857478306821842	0.13407926453896202	
Cre03.g146247.t1.1	0.13999709681256314	0.125991572233529	0.1579929147264112	NUOS4
Cre10.g437950.t1.2	0.027240096087568888	0.03525519101283992	0.04041965125278921	
Cre08.g378150.t1.1	0.02589836659969339	0.03903753328130505	0.030728773085528592	GLD2
Cre02.g119550.t1.2	0.2846235814643471	0.29606501296197707	0.3780076463427545	NIP1
Cre03.g144967.t1.1	0.04080174744792226	0.046326284831904666	0.05618203966731063	
"Cre06.g280900.t1.1;Cre06.g280900.t2.1;Cre06.g280900.t3.1"	0.04280725972217593	0.02616591220553864	0.043810870132529295	VTI2;VTI2;VTI2
Cre01.g065822.t1.1	0.5537172213973066	0.4415426326879476	1.2472593842209405	IFT122
Cre01.g011300.t1.1	0.01911811040064711	0.01884848465741997	0.47761282661245796	
Cre16.g654500.t1.1	0.07678694422950273	0.0605266283999609	0.08383021766213176	EIF3F
Cre02.g076250.t1.1	0.16590258347362707	0.1510446683242534	0.17226070305111596	EFG1
"Cre06.g309650.t1.1;Cre06.g309650.t2.1"	0.06640158773770448			;
Cre02.g141250.t1.2	0.1928136537541312	0.20296299180198318	0.040690632367612375	
Cre10.g452450.t1.2	0.0626128586391664	0.056180570006803696	0.07504714960141254	TIC110
Cre03.g154550.t1.1	0.1469940402067641	0.12553983842098118	0.20115218846240068	PCR1
Cre02.g143200.t1.1	0.12288242318106742	0.1289931350229505	0.16081656325123778	TSA1
Cre07.g313450.t1.2	0.09003982120534353	0.09073459489718874	0.13552873864184384	
Cre12.g534800.t1.1	0.2654279296735828	0.19926235640079187	0.2715390855354306	GCSP
Cre06.g270750.t1.1	0.02875472119496271	0.019068715848459178	0.028958689073704573	
Cre09.g401515.t1.1	0.1334857684736962	0.13393535074183666	0.09828596706221354	
Cre08.g380151.t1.1	0.13914710732867544	0.009935354644781172	0.12564977925848958	
Cre02.g106550.t1.2	0.0076427621022357286	0.007805169136954986	0.006835378757275047	
Cre11.g476550.t1.2	0.32297848907495463	0.2816478795368279	0.465868811680187	ADH11
Cre13.g578100.t1.1	0.02752506099302869	0.026859304604267904	0.024961938185802522	
"Cre09.g408851.t1.1;Cre09.g408851.t2.1"	0.011084761119872454	0.021305856009059737	0.03303882415997096	;
Cre10.g430501.t1.1	0.0967700323397073	0.08609342641347076	0.1336510935865712	
Cre02.g090150.t1.2	0.05338560622720678	0.04302603326147669	0.09442538501708331	PAN3
