ProteinId	Replicate_1_(amol/cell)	Replicate_2_(amol/cell)	Replicate_3_(amol/cell)	Synonym
Cre06.g299450.t1.2	0.009492350741249066	0.009545958493073069	0.14942492044283084	
Cre12.g537671.t1.1	0.005743699309993163	0.0063227269588114815	0.018747955480208328	
Cre03.g200351.t1.1	0.07442422436305068	0.08517643052262427	0.08849436268480551	
Cre11.g467682.t1.1	0.008777213287563769	0.03252069944605921	0.0454626768264481	
Cre16.g653550.t1.2	0.03689142675060979	0.04549908548392474	0.0413261608442226	
Cre11.g481500.t1.2	0.06069509484870274	0.056835897904512045	0.0485291916292247	HIS7
Cre12.g522800.t1.2	0.005852534106094096	0.00817984104051173	0.030220545001714005	
Cre07.g323450.t1.2		0.12846962801298276	0.07498962490842606	
Cre11.g467556.t1.1	0.1351565897417877	0.03126617268108075	0.046403551774346206	
"Cre15.g639150.t1.1;Cre15.g639150.t2.1"	0.04999758797664805	0.047697830831495903	0.0814308552792147	;
Cre11.g467531.t1.1	0.024783653929137887	0.0573357642795632	0.012687914618232385	
"Cre13.g579566.t1.1;Cre13.g579566.t2.1"	0.1341212058406051	0.02931132939449057	0.040234366553490886	;
Cre12.g520650.t1.2	0.027984854283112284	0.03732625945851788	0.014199019393044557	TLP1
Cre10.g428050.t1.1	0.007382600662305358	0.010242430420843364	0.006224824994588039	
Cre13.g566850.t1.2	0.09795829382023727	0.07777540249145709	0.041672102531056625	SOUL2
Cre02.g117500.t1.2	0.051515928385435394	0.030534351280968423	0.02603316202488395	HXK1
"Cre04.g225350.t1.1;Cre04.g225350.t2.1"	0.022398009412600638	0.025324100613327422	0.018996672568766144	;
Cre16.g694208.t1.1	0.012226373297449727	0.10535160378644227	0.013798698173055159	
Cre11.g477950.t1.1	0.09464419300138033	0.08971594299514368	0.07624867544583358	
Cre19.g750147.t1.1	0.010270549871274555	0.010405872838172188	0.006417464090291344	
Cre17.g721850.t1.2	0.05486556388760169	0.03760881129503731	0.03107934401440548	SSA16
Cre12.g501000.t1.1	0.005623168575684441	0.006796290199332915	0.00933539781796258	
Cre16.g687350.t1.2	0.05334326341690831	0.06733347741573627	0.04922663543069042	
Cre14.g630400.t1.2	0.06368056185960916	0.06498400340942893	0.054589998409386505	
Cre06.g269050.t1.2	0.17658556227777022	0.17356105563365004	0.15913092847186372	TIC62
Cre06.g257500.t1.2	0.5640253364428436	0.6908437558231164	0.6633066034136083	FTT2
Cre05.g248600.t1.2	0.09418301312425853	0.08121081678465061	0.05706938289048342	PCC1
"Cre17.g696250.t1.1;Cre17.g696250.t2.1"	0.05427563571642204	0.05163342956289666	0.037812921323199196	;
Cre-1.g2716963.t1.p1	1.3792968796529235	1.3357399163888286	1.199090296410847	psbC
Cre10.g457700.t1.2	0.0510738893082543	0.06183414217457364	0.22340565624012487	
Cre06.g273413.t1.1	0.05379195335255435	0.08790158831945091	0.06236774290099908	
"Cre12.g553100.t1.1;Cre12.g553100.t2.1"	0.03384683555797513	0.0452998454195348	0.02405234515073766	;
Cre08.g384000.t1.1	0.011812894392878675	0.010574834663102863	0.012898750562615718	CYP771A1
Cre06.g278091.t1.1	0.01168405138024807			
Cre16.g677000.t1.2	0.12999120873286713	0.13455405991226743	0.15682384528911283	HSP70E
Cre14.g629550.t1.2	0.03565919405139295	0.0307825393054042	0.021179856637000394	
Cre14.g626500.t1.2	0.03237794077080549	0.03393112802663352	0.039109895012943534	
Cre13.g571150.t1.2	0.15329505204817895	0.15179378987098902	0.10459521879369564	NUOP1
Cre07.g336750.t1.1	0.01996354409030259	0.03379638830415267	0.016268193620021208	
Cre08.g384200.t1.2	0.016019736782392692		0.019238542851823033	
Cre12.g525150.t1.2	0.02729942726634706	0.009904692847093494	0.004639548828099889	
Cre10.g436500.t1.2	0.06243614974149139	0.08118614293020608	0.06366921962374243	
Cre09.g401886.t1.1	0.10497344289184224	0.10944140894027683	0.1072501111606125	
Cre24.g755497.t1.1	0.057515540796554764	0.04860096613122708	0.07351752852329457	
"Cre11.g468356.t1.1;Cre11.g468356.t2.1"	0.015988190381387952	0.02470729443159204	0.034031414844167975	;
Cre07.g336200.t1.1	0.020797239215474005	0.07431255103263042	0.016755666301311502	
Cre06.g279150.t1.2	0.13239257716378933	0.12417697142301969	0.12092400046753854	TSD2
Cre02.g097000.t1.2	0.017357216492402093	1.6995730093319634		DHP1
Cre08.g362450.t1.2	0.09711467485272138	0.06353393806793282	0.10234541076551504	AMA2
Cre05.g230850.t1.1	0.044485897355441575	0.026821240254434928	0.04356618083121744	
Cre02.g074650.t1.2	0.02296352907238943	0.027056363947664405	0.03412150027534196	
"Cre12.g488850.t1.1;Cre12.g488850.t2.1"	0.0491158339763842	0.060810135954402184	0.26689200963754134	AP2A1;AP2A1
Cre10.g444800.t1.2	0.09036728617995407	0.06100858282276671	0.08853512044895617	CGL63
Cre06.g273000.t1.2	0.12427804629846168	0.18474434091222117	0.2389174294272362	
"Cre08.g368900.t1.2;Cre08.g368900.t2.1"	0.04042693300059545	0.08010550097120431	0.035950276415104766	TSA2;TSA2
Cre09.g403182.t1.1	0.051355572009967626	0.012780148140514674	0.05508725267411841	
Cre13.g603225.t1.1	0.047352915138104246	0.04581446062816684	0.04364958445832827	
Cre13.g581600.t1.2	0.35042195361481476	0.3476780421268464	0.31305192887670485	ASA4
Cre03.g145967.t1.1	0.07511570641257402	0.09356562720274068	0.08422871102312601	
Cre16.g678050.t1.1	0.00837851419365605	0.008540901792511513	0.009550834326638119	SRE3
Cre06.g259100.t1.1	0.03992594372706457	0.044332615821490104	0.029268611133583172	
Cre06.g255100.t1.1	0.052681818432444474	0.06779464455684336	0.06693849953471821	
Cre02.g106850.t1.2	0.06050658225219071	0.06294084955352709	0.05400336721075523	TPR6
Cre09.g397200.t1.2	0.06745022651533122	0.057797759792223624	0.033026468497886395	CCT6
Cre12.g552900.t1.2	0.0836680035232451	0.03577719544873185	0.043017113338808165	DOI1
Cre01.g010900.t1.2	0.8767505009317345	1.0402562626147345	1.381955827404822	GAP3
Cre05.g247450.t1.2	0.055906376631258956	0.042168635102222435	0.046833047034827005	CGL56
Cre07.g347100.t1.2	0.04188761044937873	0.03329715851605366	0.06593756724987268	
Cre01.g001100.t1.2	0.09155852965333716	0.06783746753920034	0.10361981873077547	
Cre03.g167101.t1.1	0.019615036806140677		0.014920217550652912	
Cre02.g088200.t1.2	0.4917572008560291	0.4811266881474386	0.5171035879528649	RB60
Cre16.g692901.t1.1	0.10387686592944885	0.1022757034608272	0.0958565673319737	
Cre16.g653700.t1.1	0.07197329437827454	0.031167001707703694	0.14070938717223713	
Cre03.g194850.t1.2	0.9726488148807306	1.0680790788918415	0.8343894872456025	MDN1
Cre10.g466450.t1.1	0.10637451292501063	0.04887751332674	0.017330250604705097	
Cre02.g080200.t1.2	0.5356927755590888	0.6550621608005269	0.5225904461336522	TRK1
Cre06.g296500.t1.2	0.039365149211838896	0.029552962665311544	0.012737917522583152	
Cre07.g340350.t1.1	0.24583573876694834	0.32774286401421393	0.3042557946611383	ASA1
Cre12.g503300.t1.2	0.07191995719906402	0.07591512103258335	0.06066085448760081	
Cre06.g308500.t1.2	0.1725532771738211	0.18676624273816364	0.18870068117321945	CMP2
Cre13.g591400.t1.1	0.04504043975654652	0.04852505925387092	0.052038954293059526	COA1
Cre03.g177053.t1.1	0.03677741221314233	0.04136382195437176	0.03899414008598759	
"Cre06.g273500.t1.2;Cre06.g273500.t2.1"	0.0425178175077721	0.041500241825998624	0.09318771924006093	;
Cre09.g395800.t1.2	0.06145191127212537	0.043866950128575014	0.06077486682852395	
Cre06.g263250.t1.1	0.1001984085927953	0.10623732473331919	0.15069616820987747	
Cre12.g537100.t1.2	0.04814894576499973	0.050269861885785486	0.04633148988389779	TSV2
Cre11.g467400.t1.2	0.0508319369442614	0.05039154293151739	0.048412001484666886	
"Cre06.g282000.t1.1;Cre06.g282000.t2.1"	0.0427219049227238	0.04559156365384057	0.04033727907212651	STA3;STA3
Cre09.g415550.t1.2	0.5319482388242224	0.49046137850030536	0.3749309577847419	ASA2
Cre09.g406050.t1.2	0.09987156965579974	0.09878353818256076	0.09837363354246967	PYR7
Cre12.g512000.t1.1	0.05814117480455318	0.05479319033239288	0.07117434454663109	
"Cre02.g143650.t1.2;Cre02.g143650.t2.1"	0.03417883308082739	0.060724431114073454	0.04024431532377023	;
Cre17.g734200.t1.2	0.2023227725186325	0.2310920469269565	0.1829470151167476	DPA1
"Cre12.g541800.t1.2;Cre12.g542100.t1.2"	0.1303866986761615	0.08886615242149304	0.03815984093130591	;
Cre12.g513500.t1.2	0.024561083463727335	0.030292285294771217	0.02721919918019668	XAB2
"Cre08.g358556.t1.1;Cre08.g358556.t2.1"	1.2086284845542616	1.1987345998991459	1.1526408250363922	RPS29;RPS29
"Cre13.g566650.t1.2;Cre13.g566650.t2.1"	0.10276420825483978	0.10084626648039793	0.09238954412961778	;
Cre16.g695050.t1.2	0.13775447983524136	0.15890999688005547	0.11126822070739514	HCD1
Cre01.g020918.t1.1	0.10394068917568788	0.09514734728344718	0.09466533118892831	PREP1
Cre06.g278215.t1.1	0.0928856179256069	0.07412414665569773	0.1466335564124889	
Cre12.g498500.t1.2	0.06118906125438475	0.028600384333471347	0.11099610994012843	DEG1C
"Cre06.g278185.t1.1;Cre07.g357200.t1.2"	0.30949977296988346	0.3976541427185229	0.45771145940755614	UGD2;UGD1
Cre16.g687200.t1.1		0.07980220293837992	0.09759619180167253	
"Cre17.g746597.t1.1;Cre17.g746597.t2.1"	0.08629273170641766	0.07935329867654774	0.06035337586616729	;
Cre01.g015600.t1.1	0.02896188473932894	0.02754437430748752	0.029359533800992543	
Cre09.g394436.t1.1	0.1636816896529134	0.16724011280987588	0.14385223815791504	
"Cre13.g604650.t1.2;Cre13.g604650.t2.1"	0.5913755840889825	0.6225319520785437	0.55203421005327	;
Cre02.g080350.t1.1	0.04190689363577195	0.03744463444200689	0.09771097877789588	
Cre02.g097950.t1.2	0.04458415798566055		0.027248333759483684	
Cre02.g109550.t1.2	0.052054365798943236	0.019644259989870495	0.04973777700290696	HSD1
Cre10.g419950.t1.1	0.04572029623274727	0.04332319856708873	0.03632931425828886	
Cre09.g393700.t1.1	0.05881291407436805	0.11137557972738402	0.08816562250141087	MMP3
Cre02.g118500.t1.1	0.0918374267394056	0.10288637115243264	0.09298784151610344	COPB2
Cre06.g278202.t1.1	0.015459707599919414	0.019346232162575052		
Cre-1.g2716961.t1.p1	0.6253784194988414	1.2763994451384617	1.19646871574709	psbD
Cre06.g278255.t1.1	0.09760750888573247	0.08616770301215201	0.07362725692691967	
Cre02.g095146.t1.1	0.06779621003507824	0.1277526894244625	0.088233822456296	
Cre03.g146247.t1.1	0.17817708760072262	0.18466437211704537	0.161524138931865	NUOS4
Cre10.g437950.t1.2	0.0338204235519798	0.03157037065639688	0.047488493300867574	
Cre08.g378150.t1.1	0.040796405970842595	0.03856326551411319	0.03565586951042027	GLD2
Cre02.g119550.t1.2	0.26645862832028755	0.6415432147905424	0.17664964753437584	NIP1
Cre03.g144967.t1.1	0.05862313953925678	0.06496389935639985	0.04572726503525182	
"Cre06.g280900.t1.1;Cre06.g280900.t2.1;Cre06.g280900.t3.1"	0.04267803599266248	0.027866012586741755	0.024582657064216196	VTI2;VTI2;VTI2
Cre01.g065822.t1.1	0.12206136956871456	0.06809934114705571	0.13683254354313137	IFT122
Cre01.g011300.t1.1	0.04423328598262112	0.039227547219402914	0.04764695831303317	
Cre16.g654500.t1.1	0.10562805093137256	0.11632388441029229	0.0812933269367217	EIF3F
Cre02.g076250.t1.1	0.14436209667009675	0.17957451999078142	0.16645372257087165	EFG1
Cre02.g141250.t1.2	0.04967332376092881	0.0503440107182906	0.03664637131056466	
Cre10.g452450.t1.2	0.08338469684341726	0.09091832971093887	0.06557329262486768	TIC110
Cre03.g154550.t1.1	0.08927340464948685	0.1067810275192444	0.09301170807566747	PCR1
Cre02.g143200.t1.1	0.16818151938117848	0.15070144148918396	0.1522737608446697	TSA1
Cre07.g313450.t1.2	0.02286571617471825	0.15418911354942333		
Cre12.g534800.t1.1	0.2850165558386393	0.309483175775955	0.22340195345397473	GCSP
Cre06.g270750.t1.1	0.016124730566178674	0.08511601059143899	0.03457951341560147	
Cre09.g401515.t1.1	0.13383564303088344	0.13699523006312808	0.09827879037133277	
Cre08.g380151.t1.1	0.08492565033718667	0.009625605549727852		
Cre02.g106550.t1.2	0.014372261486674663	0.015081420647749312	0.01637126725178497	
Cre11.g476550.t1.2	0.10377517677577607	0.09697440606127991	0.11095571864388984	ADH11
Cre13.g578100.t1.1	0.023571719899382917	0.02148095520262522		
"Cre09.g408851.t1.1;Cre09.g408851.t2.1"	0.05179707048452045	0.02474981646460715	0.02176694642526703	;
Cre10.g430501.t1.1	0.13239489325863282	0.14998569846762677	0.11052449118135826	
Cre02.g090150.t1.2	0.03451377269153916	0.04510309380570615	0.026359464649288924	PAN3
Cre06.g300700.t1.1	0.19151315244866113	0.1840543673510392	0.24343387619669604	
Cre01.g061077.t1.1	0.3662425058993655	0.36503297344428354	0.4039905621566252	CGL93
Cre02.g081250.t1.2	0.1337712048537213	0.17413153484331273	0.0988562571529581	
Cre12.g533351.t1.1	0.04015310788317284	0.011456294001751594	0.012022680204783504	CLPB5
Cre16.g676550.t1.2	0.03229903112748594	0.021262762396091664	0.016357789239435188	
Cre03.g213649.t1.1	0.006355425909852303	0.006412795308642451	0.10995817318070215	
Cre03.g199000.t1.2	0.07280269828465841	0.08562279904424933	0.06503361848037366	PHOT1
Cre17.g703900.t1.2	0.06006853078663084	0.03104723533368993	0.08862052747902895	IFT172
Cre10.g442700.t1.2	0.061560918880856325	0.07213561493781281	0.05052842558007548	
Cre08.g384750.t1.1	0.10130561958587352			AMA3
Cre06.g271200.t1.2	0.016927404167118396	7.70526602246001	0.024558872845124147	PNO1
"Cre03.g151700.t1.2;Cre03.g151700.t2.1"	0.08353672738764008		0.0691744565401162	CGL26;CGL26
Cre12.g489700.t1.2	0.06801658693003987	0.05934045689056889	0.04041388183444834	OTC1
"Cre16.g690431.t1.1;Cre16.g690431.t2.1"	0.13522900238102284	0.11478109037357198	0.13494870270017012	;
Cre05.g245900.t1.2	0.16284118013941734	0.1535330502338831	0.1501791057876859	BCA2
Cre09.g386700.t1.2	0.050222136449308785	0.02211457771164484	0.021805314167023544	KIN13-1
Cre13.g602450.t1.2	0.1093441018286185	0.1305108377850289	0.14833013358160735	
"Cre07.g321200.t1.2;Cre07.g321200.t2.1"	0.012032722500735466	0.04777423946430973	0.016206083810770853	;
Cre13.g562850.t1.2	0.16960785454016072	0.1055754357196835	0.10427068462896899	THF1
Cre02.g141350.t1.2	0.049288045286332044	0.04061169095300631	0.022462402991366315	DRC10
Cre17.g738300.t1.2	2.822181672964386	2.6612056548497867	2.7007236855947525	RPP1
Cre06.g290150.t1.1	0.04774331905422026	0.01387342715903578	0.01759938901513407	CGL65
Cre06.g278172.t1.1	0.04165667293863534	0.7423424291963374	0.002302952595456998	
Cre04.g214150.t1.1	0.08986021356290827	0.12247716379061863	0.08734522766278521	THI4
Cre14.g614300.t1.2	0.124402407607631	0.12457235324646976	0.07531027640815648	
Cre07.g325736.t1.1	0.30155558408589594	0.2908868856048449	0.27202793536489017	
Cre02.g078100.t1.1	0.06031240254652565	0.050023450414860234	0.07861979042142697	EIF5B1
Cre16.g679600.t1.2	0.31524786484717854	0.2713374695776726	0.44335689178384197	
Cre01.g045550.t1.2	0.28122975427469954	0.39134045140907525	0.3236465962846742	
Cre07.g354200.t1.2	0.02537901917458921	0.0444599693214471	0.04605068306591639	GAP2
"Cre12.g543350.t1.1;Cre12.g543350.t2.1;Cre12.g543350.t3.1;Cre12.g543400.t1.2"	0.15038690173808839	0.14616306884688557	0.1896647816988217	FDH2;FDH2;FDH2;FDH1
Cre10.g444700.t1.1	0.10666930148059295	0.11295972237771293	0.10548904230293414	SBE3
Cre14.g612450.t1.2	0.20509737159252228	0.21494479613009157	0.19580887918663162	PRPL15
