ProteinId	Replicate_1_(amol/cell)	Replicate_2_(amol/cell)	Replicate_3_(amol/cell)	Synonym
"Cre07.g347600.t2.1;Cre07.g347600.t1.1"		0.0009421945675349513		;
Cre06.g299450.t1.2			0.23386573969246732	
Cre12.g537671.t1.1	0.025557332533100593	0.019622235166322236		
Cre13.g590905.t1.2	0.0028658677329506943			
Cre12.g536550.t1.2	0.08224505625395517		0.014043735489272641	DIC1
Cre03.g200351.t1.1	0.17939652462996503	0.17549260170772052	0.1862135242491225	
Cre09.g386735.t1.1	0.13562122810365757	0.1524358215985578	0.1184226757361218	DLA1
Cre16.g653550.t1.2	0.056403873165821065	0.060100401000078914	0.05467263917967189	
Cre06.g255100.t1.1	0.094692880211333	0.09239252962011565	0.07814351001382602	
Cre12.g503300.t1.2	0.06791224453469787	0.07118990261374815	0.04276411292569513	
Cre07.g323450.t1.2				
"Cre15.g639150.t2.1;Cre15.g639150.t1.1"	0.04093654749265322	0.09027326609034224	0.02532515594316332	;
Cre11.g467531.t1.1	0.0044705741780501195			
Cre17.g730483.t1.1		0.03437441512598821	0.025143861468187565	
"Cre13.g579566.t2.1;Cre13.g579566.t1.1"		0.05105820617974846		;
Cre13.g566850.t1.2			0.09123953513051997	SOUL2
Cre02.g117500.t1.2	0.09559190952796236	0.06285125990464113	0.03798545992191737	HXK1
"Cre04.g225350.t2.1;Cre04.g225350.t1.1"	0.03420190727308225	0.03595448717526285	0.024140816476208846	;
Cre07.g326950.t1.1	0.1939686251237362	0.15540566816128984	0.1284276680208842	
Cre10.g428664.t1.1		0.0078241426226308		DIC6
Cre16.g694208.t1.1		0.02319650847702779		
Cre06.g263250.t1.1	0.08137778234170416	0.11455354879717314	0.1339625437714502	
Cre17.g721850.t1.2	0.03257860583909742			SSA16
Cre12.g501000.t1.1	0.04848202042001474	0.0751808529468113	0.051290188914610846	
Cre09.g401600.t1.2	0.022720169813321853	0.04937333528801103	0.11844284210834215	
Cre16.g687350.t1.2	0.1705719455767627	0.11249046290607825	0.08060566215416662	
"Cre13.g606350.t2.1;Cre13.g606350.t1.1"	0.11021825950019593			;
Cre14.g630400.t1.2	0.06723412864751983	0.0809050758762199	0.028419737893252268	
Cre12.g560450.t1.1	0.13251579132745317	0.11384549851867277		
Cre06.g269050.t1.2	0.33874782544258497	0.3397061357858283	0.29245174580429134	TIC62
Cre06.g257500.t1.2	0.7617845638109971	0.6922199258884015	0.46967806171451165	FTT2
"Cre17.g696250.t2.1;Cre17.g696250.t1.1"	0.08265216037432928	0.10673110328555603	0.05116967079976198	;
Cre01.g055453.t1.1	0.18462870051604052	0.2748036958653735	0.2511217135496557	ALS2
Cre-1.g2716963.t1.p1	1.9594442264451253	1.7136643062684807	2.183955884459442	psbC
Cre10.g457700.t1.2	0.1202191651308285	0.11010715421622616	0.01245499047271957	
"Cre12.g553100.t2.1;Cre12.g553100.t1.1"	0.04609845084436524	0.17312746064179677	0.06038470106195045	;
Cre08.g384000.t1.1	0.007901532424590041	0.019786848634000855	0.016436464504197643	CYP771A1
Cre11.g477950.t1.1	0.20443085923741083	0.14462580481118506	0.156379132421231	
"CpQconCAT#5: iRT ABSciex 9&10;Cre07.g342250.t1.2"	0.13822898395369482	0.1255536725438786	0.04708931335872576	PFD2
Cre12.g522800.t1.2	0.06248625653667055	0.07128532942130858	0.00959918058804678	
Cre09.g395250.t1.1	0.048006148358973516	0.04271936123820807	0.02123122398019045	FAP36
Cre16.g677000.t1.2	0.1912865813928865	0.27952284393662435	0.15282916143556888	HSP70E
