ProteinId	Replicate_1_(amol/cell)	Replicate_2_(amol/cell)	Replicate_3_(amol/cell)	Synonym
Cre06.g299450.t1.2	0.010816211920209554	0.008432000024411197	0.05967257121763238	
Cre12.g537671.t1.1	0.005888806905991136	0.009260900489651261	0.03917880625377467	
Cre03.g200351.t1.1	0.05180219122181441	0.05545499403886761	0.06313126864298578	
Cre11.g467682.t1.1	0.03194127566146075	0.020033892737186358	0.02365806743436099	
Cre16.g653550.t1.2	0.07469632243831209	0.07340482981584623	0.08593899358382215	
Cre11.g481500.t1.2	0.05096060428435662	0.04935833529104856	0.0542596089318776	HIS7
Cre12.g522800.t1.2	0.019430873126852696	0.021485212323193212	0.006390678276221436	
Cre07.g323450.t1.2	0.010232453313464325	0.018906499286484628	0.17749749719122004	
Cre11.g467556.t1.1	0.06830614978051885	0.03751695224364543	0.06755022922866073	
"Cre15.g639150.t1.1;Cre15.g639150.t2.1"	0.03847469216112222	0.03572904772217819	0.04326451779353296	;
Cre11.g467531.t1.1	0.026040401868681208	0.031512995379790236	0.05322013165867785	
"Cre13.g579566.t1.1;Cre13.g579566.t2.1"	0.035910404030598905	0.028523175061356085	0.07583981257601707	;
Cre12.g520650.t1.2	0.021261765038126903	0.02975652172705013	0.013752075969821531	TLP1
Cre10.g428050.t1.1	0.007079767132506032	0.006341116062608388	0.0063770202466610785	
Cre13.g566850.t1.2	0.09304975378304021	0.010154086463591038	0.08911969482700971	SOUL2
Cre02.g117500.t1.2	0.018517060964465072	0.01809382954021074	0.025210935595755806	HXK1
"Cre04.g225350.t1.1;Cre04.g225350.t2.1"	0.019320498919945764	0.022537873082778243	0.02708574151753078	;
Cre16.g694208.t1.1	0.015954457175127657	0.02273731071893071	0.015100503416742062	
Cre11.g477950.t1.1	0.057552662706595606	0.06439149458427959	0.07806966834293383	
Cre19.g750147.t1.1	0.010061214737091675		0.023081864146267696	
Cre17.g721850.t1.2	0.0293210834568784	0.03271576034799265	0.01993761269396407	SSA16
Cre12.g501000.t1.1		0.0065716809666708014	0.005822913552325007	
Cre16.g687350.t1.2	0.07630003053064319	0.06791151431163463	0.0588668946976234	
Cre14.g630400.t1.2	0.05323454023721405	0.05912954840486673	0.056327343370984856	
Cre06.g269050.t1.2	0.11125387656137906	0.12063382842744463	0.12424551058456931	TIC62
Cre09.g397327.t1.1			0.3607748616012476	
Cre06.g257500.t1.2	0.48516739248853447	0.4720950923344175	0.5554144842458806	FTT2
Cre05.g248600.t1.2	0.04032992593560337	0.03523571522140944	0.03768934390890922	PCC1
