Gene Name	UniProt ID	Peptide Name	ENZYME ID
Cre38.g759997	A0A2K3CMV0	Cre38.g759997.t1.1	
Cre08.g363350	A0A2K3DGQ1	Cre08.g363350.t1.1	
Cre08.g379050	A0A2K3DHW8	Cre08.g379050.t1.1	
Cre08.g364751	A0A2K3DGR9	Cre08.g364751.t1.1	
Cre08.g372000	A0A2K3DH99	Cre08.g372000.t1.2	
Cre08.g378150	A0A2K3DHV5	Cre08.g378150.t1.1	1.1.1.49
Cre08.g358567	A0A2K3DGB4	Cre08.g358567.t1.1	
Cre08.g358567	A0A2K3DGA0	Cre08.g358567.t2.1	
Cre08.g373352	A0A2K3DHF8	Cre08.g373352.t1.1	
Cre08.g360700	A0A2K3DGI3	Cre08.g360700.t1.1	
Cre08.g374850	A0A2K3DHM5	Cre08.g374850.t1.1	
Cre08.g358459	A0A2K3DG43	Cre08.g358459.t1.2	
Cre08.g361063	A0A2K3DGH8	Cre08.g361063.t1.2	
Cre08.g367700	A0A2K3DH05	Cre08.g367700.t1.1	
Cre08.g375200	A0A2K3DHN4	Cre08.g375200.t1.2	
Cre08.g375200	A0A2K3DHN4	Cre08.g375200.t2.1	
Cre08.g368550	A0A2K3DH15	Cre08.g368550.t1.1	
Cre08.g383450	A0A2K3DI79	Cre08.g383450.t1.1	
Cre08.g378601	A0A2K3DHV9	Cre08.g378601.t1.1	
Cre08.g371200	A0A2K3DH77	Cre08.g371200.t1.2	
Cre08.g384850	A0A2K3DIB4	Cre08.g384850.t1.1	1.1.1.1
Cre08.g361925	A0A2K3DGK0	Cre08.g361925.t1.1	
Cre08.g367000	A0A2K3DH06	Cre08.g367000.t1.2	
Cre08.g373436	A0A2K3DHH2	Cre08.g373436.t1.1	
Cre08.g358534	A0A2K3DG76	Cre08.g358534.t1.1	
Cre08.g370250	A0A2K3DH82	Cre08.g370250.t1.2	
Cre08.g370250	A0A2K3DH62	Cre08.g370250.t2.1	
Cre08.g358582	A0A2K3DG99	Cre08.g358582.t1.1	
Cre08.g363283	A0A2K3DGM7	Cre08.g363283.t1.1	
Cre08.g362400	A0A2K3DGJ9	Cre08.g362400.t1.1	
Cre08.g382350	A2PZC5	Cre08.g382350.t1.2	
Cre08.g369600	A0A2K3DH73	Cre08.g369600.t1.1	
Cre08.g376650	A0A2K3DHR4	Cre08.g376650.t1.2	2.8.2.8
Cre08.g366550	A0A2K3DGX5	Cre08.g366550.t1.1	
Cre08.g384355	A0A2K3DIA3	Cre08.g384355.t1.1	
Cre08.g359051	A0A2K3DGC9	Cre08.g359051.t1.1	
Cre08.g378100	A8IZA6	Cre08.g378100.t1.1	3.1.26.4
Cre08.g359800	A0A2K3DGG6	Cre08.g359800.t1.2	
